Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Branch_Code,Remarks,Loan_Status
LP002187,Male,No,0,Graduate,No,2500,0.0,96.0,480.0,1.0,Semiurban,BR-MUM,,N
LP001940,Male,Yes,2,Graduate,No,25028,1560.0,134.0,360.0,1.0,Urban,BR-KOL,,Y
LP002055,Female,No,0,Graduate,No,3166,2985.0,132.0,360.0,,Rural,BR-BLR,,Y
LP002106,Male,Yes,,Graduate,Yes,5503,4490.0,70.0,,1.0,Semiurban,BR-HYD,,Y
LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,BR-HYD,walk-in applicant,Y
LP002065,Male,YES,3+,Graduate,No,15000,0.0,300.0,360.0,1.0,Rural,,pending review,Y
LP002587,Male,Yes,0,Not Graduate,No,2600,1700.0,107.0,360.0,1.0,Rural,BR-BLR,pending review,Y
LP200108,MALE,Yes,0,Not Graduate,  No ,4101,0.0,109.0,192.0,,Semiurban,BR-KOL,,Y
LP001915,Male,Yes,2,GRADUATE,No,2301,985.7999878,78.0,180.0,1.0,Urban,BR-KOL,,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,BR-DEL,walk-in applicant,N
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,BR-KOL,,Y
LP001531,Male,No,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,BR-MUM,,N
LP001716,MALE,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,BR-DEL,referred by agent,Y
LP002862,Male,Yes,,Not Graduate,No,41392,1625.0,187.0,480.0,1.0,Semiurban,BR-HYD,,N
LP002484,Male,Yes,3+,Graduate,No,7740,0.0,128.0,180.0,1.0,Urban,BR-MUM,,Y
LP002502,Female,  Yes ,2,Not Graduate,,210,2917.0,98.0,360.0,1.0,Semiurban,,referred by agent,Y
LP200093,Male,Yes,3+,Graduate,No,9099,0.0,260.0,336.0,1.0,Rural,BR-CHN,,Y
LP002138,Male,Yes,0,Graduate,No,2625,6250.0,187.0,360.0,1.0,RURAL,BR-MUM,pending review,Y
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,BR-MUM,pending review,N
LP001275,Male,,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,BR-HYD,,Y
LP001225,Male,YES,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,BR-BLR,,N
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,BR-DEL,,N
LP200164,Male,Yes,0,Graduate,,8099,1907.0,180.0,336.0,1.0,Rural,BR-DEL,pending review,Y
LP002226,Male,Yes,0,Graduate,,3333,2500.0,128.0,360.0,1.0,Semiurban,BR-KOL,,Y
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,BR-KOL,,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,,0.0,semiurban,BR-KOL,walk-in applicant,N
LP002912,Male,Yes,1,Graduate,No,4283,3000.0,172.0,84.0,1.0,Rural,BR-KOL,,N
LP200122,Male,Yes,2,Graduate,No,37845,5281.0,112.0,348.0,1.0,Rural,,,Y
LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158.0,360.0,1.0,  Urban ,BR-BLR,walk-in applicant,Y
LP002054,Male,Yes,2,not graduate,No,3601,1590.0,,360.0,1.0,Rural,BR-DEL,follow-up needed,Y
LP200127,Male,Yes,1,Graduate,No,2600,2107.0,99.0,384.0,1.0,Semiurban,,,Y
LP002772,Male,  No ,0,graduate,NO,2526,1783.0,145.0,360.0,1.0,Rural,BR-BLR,,Y
LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,,follow-up needed,Y
LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100.0,360.0,1.0,SEMIURBAN,BR-BLR,,Y
LP001357,Male,,,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,BR-MUM,,Y
LP200041,male,Yes,0,Graduate,,2669,2234.0,141.0,372.0,1.0,Semiurban,BR-HYD,,Y
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural,BR-BLR,,N
LP002842,Male,Yes,,graduate,No,3417,1750.0,186.0,360.0,1.0,urban,BR-BLR,,Y
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,BR-HYD,,N
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,BR-DEL,,N
LP200182,Female,No,0,Graduate,No,3190,0.0,62.0,384.0,1.0,Urban,BR-KOL,,Y
LP200146,Male,Yes,0,Graduate,No,9885,0.0,182.0,180.0,1.0,Rural,BR-CHN,,Y
LP002051,Male,Yes,0,GRADUATE,No,2400,2167.0,115.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP001825,Male,Yes,0,Graduate,No,1809,1868.0,90.0,360.0,,Urban,BR-MUM,follow-up needed,Y
LP200063,Male,Yes,1,Graduate,No,3250,1081.0,,360.0,1.0,Urban,BR-HYD,,Y
LP001884,Female,No,1,Graduate,No,2876,1560.0,90.0,360.0,1.0,Urban,BR-KOL,,Y
LP002453,Male,No,0,Graduate,,7085,0.0,84.0,360.0,1.0,Semiurban,BR-MUM,,Y
LP002940,Male,No,0,Not Graduate,,3833,0.0,110.0,360.0,1.0,RURAL,BR-HYD,,Y
LP200009,male,No,1,Graduate,No,4670,1870.0,114.0,336.0,1.0,Urban,BR-DEL,,Y
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,,Urban,BR-HYD,,Y
LP002916,  Male ,Yes,0,Graduate,No,2297,1522.0,104.0,360.0,1.0,Urban,BR-BLR,follow-up needed,Y
LP001052,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,BR-DEL,,N
LP200139,MALE,Yes,1,Graduate,No,5676,1035.0,27.0,,1.0,Semiurban,BR-MUM,,Y
LP200049,,No,,Graduate,No,4238,0.0,,372.0,1.0,Semiurban,BR-KOL,,Y
LP001715,Male,Yes,3+,Not Graduate,,5703,0.0,130.0,360.0,,Rural,BR-DEL,pending review,Y
LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,BR-DEL,,N
LP001508,Male,YES,2,Graduate,No,11757,0.0,187.0,180.0,1.0,URBAN,BR-BLR,,Y
LP200043,Female,No,3+,Graduate,,421,42703.0,326.0,180.0,,Urban,,,N
LP200181,Female,No,0,Graduate,No,4178,0.0,119.0,372.0,1.0,Semiurban,BR-KOL,referred by agent,N
LP002706,Male,Yes,1,Not Graduate,No,5285,1430.0,161.0,360.0,0.0,Semiurban,BR-KOL,pending review,Y
LP001205,Male,  Yes ,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,  Urban ,,walk-in applicant,Y
LP002103,,Yes,1,Graduate,Yes,9833,1833.0,182.0,180.0,1.0,Urban,,pending review,Y
LP002305,Female,No,0,Graduate,No,4547,0.0,,360.0,1.0,Semiurban,BR-BLR,,Y
LP002296,Male,NO,0,Not Graduate,No,2755,0.0,65.0,300.0,1.0,Rural,BR-KOL,,N
LP200096,Male,No,0,Graduate,No,2905,0.0,72.0,504.0,,Urban,BR-HYD,,N
LP002832,Male,Yes,2,Graduate,No,8799,0.0,1628.0,360.0,0.0,Urban,BR-KOL,walk-in applicant,N
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,semiurban,BR-DEL,,Y
LP001478,Male,No,0,Graduate,,2718,0.0,70.0,360.0,1.0,Semiurban,BR-DEL,pending review,Y
LP002266,MALE,Yes,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,BR-CHN,,Y
LP002757,Female,Yes,0,Not Graduate,,3017,663.0,102.0,360.0,,Semiurban,BR-DEL,,Y
LP200125,Male,Yes,2,Graduate,No,8162,0.0,231.0,384.0,1.0,Semiurban,BR-BLR,,Y
LP002517,Male,Yes,1,Not Graduate,No,2653,1500.0,113.0,180.0,0.0,Rural,BR-DEL,follow-up needed,N
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,,Rural,BR-CHN,referred by agent,Y
LP001945,Female,No,,Graduate,No,35375,0.0,143.0,480.0,0.0,Urban,BR-HYD,,N
LP200007,Male,  Yes ,3+,Not Graduate,No,2823,1667.0,71.0,168.0,0.0,Urban,BR-BLR,,N
LP002194,Female,No,0,Graduate,Yes,15759,0.0,55.0,360.0,1.0,Semiurban,BR-MUM,,Y
LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,BR-KOL,,N
LP200160,MALE,Yes,1,Not Graduate,No,2665,1418.0,112.0,180.0,0.0,Rural,,,N
LP001761,Male,No,0,  Graduate ,YES,6400,0.0,200.0,360.0,1.0,Rural,BR-DEL,,Y
LP001900,Male,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,BR-HYD,,Y
LP002224,Male,No,0,Graduate,no,3069,0.0,71.0,480.0,1.0,Urban,BR-HYD,,N
LP002008,Male,Yes,2,Graduate,Yes,5746,0.0,144.0,84.0,,Rural,BR-MUM,,Y
LP001426,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,BR-BLR,referred by agent,Y
LP001836,Female,No,2,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,BR-MUM,,N
LP001998,Male,Yes,2,not graduate,No,7667,0.0,185.0,360.0,,  Rural ,BR-HYD,,Y
LP001003,Male,YES,1,graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,BR-MUM,,N
LP001405,Male,Yes,1,  Graduate ,No,2214,1398.0,85.0,360.0,,Urban,BR-DEL,,Y
LP001228,Male,No,0,NOT GRADUATE,No,3200,2254.0,126.0,180.0,,Urban,BR-BLR,,N
LP200169,Male,No,0,Not Graduate,No,2235,1530.0,128.0,348.0,,Semiurban,BR-HYD,follow-up needed,Y
LP200001,Female,,,Graduate,No,10186,0.0,,228.0,1.0,Semiurban,BR-HYD,,Y
LP002560,Male,No,0,Not Graduate,No,2699,2785.0,96.0,360.0,,Semiurban,BR-BLR,,Y
LP001322,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,BR-DEL,walk-in applicant,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,BR-BLR,,N
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,BR-KOL,,Y
LP002493,Male,No,0,Graduate,No,4166,0.0,98.0,360.0,0.0,Semiurban,BR-KOL,,N
LP002560,Male,No,0,Not Graduate,No,2699,2785.0,96.0,360.0,,Semiurban,BR-BLR,,Y
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,BR-BLR,,N
LP001608,male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,BR-CHN,,Y
LP200147,Male,Yes,0,Graduate,No,6670,0.0,125.0,372.0,1.0,Semiurban,BR-KOL,follow-up needed,Y
LP002178,  Male ,Yes,0,Graduate,No,3013,3033.0,95.0,300.0,,Urban,BR-DEL,,Y
LP002297,Male,No,0,Graduate,No,2500,20000.0,103.0,360.0,1.0,Semiurban,BR-CHN,,Y
LP002547,Male,Yes,1,Graduate,No,18333,0.0,500.0,360.0,1.0,Urban,BR-KOL,walk-in applicant,N
LP001030,Male,yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,BR-MUM,,Y
LP002288,  Male ,Yes,2,Not Graduate,No,2889,0.0,45.0,180.0,0.0,Urban,,,N
LP002855,Male,Yes,2,Graduate,No,16666,0.0,275.0,360.0,1.0,Urban,BR-BLR,,Y
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,BR-HYD,,Y
LP200144,Male,Yes,3+,  Graduate ,No,4591,0.0,104.0,360.0,1.0,Semiurban,BR-KOL,,Y
LP200052,Male,No,0,Graduate,Yes,6598,0.0,86.0,336.0,1.0,Semiurban,BR-HYD,,Y
LP002670,Female,Yes,2,Graduate,No,2031,1632.0,113.0,,1.0,Semiurban,BR-KOL,,Y
LP002784,Male,Yes,1,Not Graduate,No,2492,2375.0,,360.0,1.0,Rural,BR-CHN,,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,BR-CHN,walk-in applicant,N
LP200060,Male,Yes,,Graduate,No,4442,1408.0,131.0,348.0,1.0,Rural,BR-BLR,,N
LP001736,Male,Yes,0,Graduate,No,2221,0.0,60.0,,0.0,Urban,BR-KOL,,N
LP002840,Female,No,0,Graduate,NO,2378,0.0,9.0,360.0,1.0,Urban,BR-BLR,,N
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,BR-BLR,,Y
LP002716,Male,No,0,Not Graduate,No,6783,0.0,130.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP001806,MALE,  No ,0,Graduate,,2965,5701.0,155.0,60.0,1.0,Urban,BR-MUM,pending review,Y
LP200031,Male,yes,2,Graduate,Yes,16104,959.0,144.0,360.0,1.0,Rural,BR-KOL,,Y
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,BR-MUM,walk-in applicant,Y
LP200086,Male,Yes,3+,Not Graduate,No,3169,0.0,71.0,360.0,1.0,Semiurban,BR-MUM,,Y
LP001896,MALE,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,,pending review,Y
LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,BR-CHN,,N
LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236.0,360.0,1.0,Semiurban,BR-HYD,,Y
LP001907,Male,Yes,0,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,BR-MUM,walk-in applicant,Y
LP002515,Male,Yes,1,  Graduate ,Yes,3450,2079.0,162.0,360.0,,Semiurban,BR-DEL,,Y
LP001871,Female,No,0,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,BR-BLR,,Y
LP001091,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,,Urban,BR-KOL,,N
LP200020,Male,No,0,Graduate,No,11762,0.0,172.0,372.0,1.0,Semiurban,BR-BLR,walk-in applicant,N
LP002144,Female,No,,Graduate,No,3813,0.0,116.0,180.0,1.0,Urban,,,Y
LP001263,Male,Yes,3+,GRADUATE,No,3167,4000.0,180.0,300.0,0.0,Semiurban,BR-HYD,,N
LP001744,Male,No,0,Graduate,No,22869,2791.0,144.0,360.0,1.0,Semiurban,BR-HYD,,Y
LP200058,Female,Yes,1,Graduate,Yes,19842,0.0,600.0,360.0,1.0,Semiurban,BR-BLR,,Y
LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,180.0,360.0,1.0,Rural,BR-BLR,follow-up needed,Y
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664.0,,180.0,0.0,  Urban ,BR-MUM,,N
LP002874,Male,No,0,Graduate,No,3229,2739.0,,360.0,1.0,Urban,BR-KOL,,Y
LP200000,Male,Yes,,Graduate,No,13410,0.0,,372.0,1.0,Urban,BR-MUM,walk-in applicant,Y
LP200101,Male,No,0,Graduate,No,4623,0.0,102.0,372.0,1.0,Semiurban,BR-DEL,pending review,Y
LP001634,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,,Rural,BR-MUM,,N
LP002181,Male,No,0,Not Graduate,No,6216,0.0,133.0,360.0,1.0,Rural,BR-BLR,,N
LP200004,Male,Yes,2,Not Graduate,Yes,10956,1792.0,94.0,360.0,1.0,Semiurban,BR-KOL,referred by agent,Y
LP002768,Male,No,0,Not Graduate,No,3358,0.0,80.0,36.0,1.0,Semiurban,BR-BLR,,N
LP002729,Male,No,1,  Graduate ,NO,11250,0.0,196.0,360.0,,Semiurban,BR-KOL,pending review,N
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,BR-KOL,,Y
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,BR-CHN,,N
LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,BR-DEL,,N
LP002403,Male,No,0,Graduate,Yes,10416,0.0,187.0,360.0,0.0,Urban,BR-KOL,follow-up needed,N
LP002119,Male,Yes,1,Not Graduate,No,31747,1229.0,158.0,360.0,1.0,Urban,BR-BLR,,Y
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,BR-HYD,,Y
LP002357,Female,No,0,Not Graduate,No,2720,0.0,80.0,,0.0,Urban,BR-HYD,,N
LP002740,Male,Yes,3+,Graduate,No,6417,0.0,157.0,180.0,1.0,Rural,BR-BLR,pending review,Y
LP001914,Male,  Yes ,0,Graduate,No,3927,800.0,802.0,360.0,1.0,Semiurban,BR-CHN,walk-in applicant,Y
LP002739,Male,Yes,0,Not Graduate,No,2917,536.0,66.0,360.0,1.0,Rural,BR-HYD,,N
LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123.0,360.0,,Semiurban,,pending review,Y
LP200150,Male,Yes,2,Graduate,No,2251,1041.0,78.0,180.0,1.0,Urban,BR-DEL,,Y
LP200097,Male,No,0,Graduate,No,2515,0.0,73.0,348.0,1.0,Urban,BR-MUM,,N
LP200076,Female,No,0,Graduate,No,3965,0.0,113.0,372.0,1.0,Semiurban,BR-HYD,,N
LP002893,Male,No,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,BR-BLR,follow-up needed,N
LP001213,Male,Yes,1,Graduate,No,4945,0.0,,360.0,0.0,rural,BR-MUM,,N
LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131.0,360.0,1.0,Semiurban,BR-CHN,follow-up needed,Y
LP200008,Male,Yes,0,Graduate,No,3221,2882.0,129.0,384.0,1.0,Urban,BR-HYD,,Y
LP200088,Male,Yes,1,Not Graduate,No,2606,1526.0,113.0,192.0,0.0,Rural,BR-HYD,,N
LP002556,Male,No,0,Graduate,,2435,0.0,75.0,360.0,1.0,Urban,BR-BLR,,N
LP200069,Female,No,1,Graduate,No,3024,1650.0,90.0,360.0,1.0,urban,BR-MUM,,Y
LP002582,Female,No,,Not Graduate,Yes,17263,0.0,225.0,360.0,1.0,Semiurban,BR-BLR,,Y
LP200156,Male,Yes,0,Graduate,No,6055,0.0,132.0,348.0,1.0,Semiurban,BR-BLR,,Y
LP002836,Male,No,0,  Graduate ,no,3333,0.0,70.0,360.0,1.0,Urban,BR-DEL,,Y
LP002625,,No,0,Graduate,no,3583,0.0,96.0,360.0,1.0,Urban,BR-HYD,,N
LP001673,Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,BR-CHN,,N
LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural,,,Y
LP200159,  Male ,Yes,2,Not Graduate,No,3849,1453.0,166.0,360.0,1.0,Rural,BR-MUM,,Y
LP002894,Female,Yes,0,GRADUATE,  No ,3166,0.0,36.0,360.0,1.0,Semiurban,BR-CHN,,Y
LP001864,  Male ,Yes,3+,Not Graduate,No,4931,0.0,128.0,360.0,,Semiurban,BR-CHN,,N
LP002585,Male,Yes,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural,BR-CHN,,N
LP001954,Female,Yes,1,Graduate,No,4666,0.0,135.0,360.0,1.0,Urban,BR-BLR,,Y
LP001702,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,BR-DEL,pending review,N
LP002931,Male,yes,2,graduate,Yes,6000,0.0,205.0,240.0,,Semiurban,BR-DEL,,N
LP200087,Male,Yes,1,Graduate,Yes,10364,3912.0,163.0,168.0,0.0,URBAN,,walk-in applicant,N
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,BR-BLR,,N
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP200176,Male,Yes,0,Not Graduate,No,4306,0.0,122.0,348.0,,Rural,BR-DEL,,Y
LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,BR-HYD,follow-up needed,Y
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,BR-KOL,,Y
LP002789,Male,yes,0,Graduate,No,3593,4266.0,132.0,180.0,0.0,Rural,BR-CHN,pending review,N
LP001213,Male,Yes,1,Graduate,No,4945,0.0,,360.0,0.0,rural,BR-MUM,,N
LP002948,Male,  Yes ,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,BR-DEL,,Y
LP002734,Male,Yes,0,Graduate,No,6133,3906.0,,360.0,1.0,Urban,BR-BLR,,Y
LP002435,Male,Yes,0,Graduate,,3539,1376.0,55.0,360.0,1.0,Rural,BR-BLR,,N
LP002798,Male,Yes,0,  Graduate ,No,3887,2669.0,162.0,360.0,1.0,Semiurban,BR-CHN,pending review,Y
LP002314,Female,  No ,0,Not Graduate,No,2213,0.0,,360.0,1.0,Rural,BR-CHN,,Y
LP200016,Male,,3+,Not Graduate,No,3319,0.0,72.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,BR-DEL,,Y
LP200003,Male,Yes,2,Graduate,No,10651,1200.0,235.0,348.0,1.0,Urban,BR-CHN,,Y
LP002050,  Male ,Yes,1,Graduate,Yes,10000,0.0,,360.0,1.0,Rural,BR-HYD,,N
LP002006,Female,No,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,BR-BLR,,Y
LP200021,male,Yes,0,Graduate,  No ,3898,3074.0,202.0,348.0,1.0,Semiurban,BR-BLR,,Y
LP200028,Male,  No ,2,Graduate,No,5369,4428.0,172.0,372.0,1.0,Rural,BR-DEL,,Y
LP002110,Male,Yes,1,Graduate,,5250,688.0,160.0,360.0,1.0,Rural,BR-KOL,,Y
LP002501,,Yes,0,Graduate,No,16692,0.0,110.0,360.0,1.0,Semiurban,BR-KOL,,Y
LP002833,Male,Yes,0,Not Graduate,No,4467,0.0,120.0,360.0,,Rural,BR-CHN,,Y
LP200051,Male,No,0,Graduate,No,2354,0.0,101.0,492.0,1.0,Semiurban,BR-CHN,walk-in applicant,N
LP200027,Male,Yes,2,Not Graduate,No,3629,251.0,104.0,336.0,1.0,Semiurban,BR-MUM,,Y
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,,Urban,BR-CHN,follow-up needed,N
LP002301,Female,No,0,Graduate,Yes,7441,0.0,194.0,360.0,1.0,Rural,BR-MUM,walk-in applicant,N
LP001279,Male,No,0,Graduate,,2366,2531.0,136.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP001917,Female,No,0,Graduate,No,1811,1666.0,54.0,360.0,1.0,Urban,BR-KOL,referred by agent,Y
LP001882,,Yes,3+,Graduate,no,4333,1811.0,160.0,,0.0,Urban,BR-HYD,,Y
LP200100,,Yes,2,Not Graduate,No,4438,1030.0,114.0,372.0,1.0,Urban,BR-KOL,,Y
LP200048,Male,Yes,2,Graduate,No,8481,0.0,272.0,384.0,0.0,Urban,BR-CHN,,N
LP002911,Male,Yes,1,Graduate,No,2787,1917.0,146.0,360.0,0.0,Rural,BR-BLR,,N
LP002714,Male,No,1,Not Graduate,No,2679,1302.0,94.0,360.0,,Semiurban,BR-BLR,,Y
LP001041,Male,Yes,0,Graduate,,2600,3500.0,115.0,,1.0,Urban,BR-DEL,pending review,Y
LP002082,male,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,BR-KOL,,Y
LP001639,Female,  Yes ,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP001743,Male,Yes,2,Graduate,No,4009,1717.0,927.0,360.0,1.0,Semiurban,BR-HYD,,Y
LP001963,Male,Yes,1,Graduate,,2014,2925.0,113.0,360.0,1.0,Urban,BR-MUM,,N
LP200103,Male,No,1,  Graduate ,Yes,4958,0.0,103.0,384.0,1.0,Rural,BR-CHN,,N
